Software Engineering,2012
LAWS2301,1,CSE
LAWS2302,1,CSE
LAWS2501,1,CSE
LAWS2502,1,CSE
LAWS2601,1,CSE
LING1100,1,CSE
LING2504,1,CSE
LING2604,1,CSE
MUSI1001,1,CSE
MUSI1002,1,CSE
MUSI2005,1,CSE
MUSI2007,1,CSE
MUSI2008,1,CSE
MUSI2009,1,CSE
MUSI2100,1,CSE
MUSI2101,1,CSE
MUSI2105,1,CSE
PADM1501,1,CSE
PHIL1000,1,CSE
PHIL1200,1,CSE
PHIL1301,1,CSE
PHIL1600,1,CSE
PHIL1700,1,CSE
PHIL2001,1,CSE
PHIL2003,1,CSE
PHIL2005,1,CSE
PHIL2101,1,CSE
PHIL2103,1,CSE
PHIL2380,1,CSE
PHIL2408,1,CSE
PHIL2501,1,CSE
PHIL2504,1,CSE
PHIL2540,1,CSE
PHIL2550,1,CSE
PHIL2601,1,CSE
PHIL2700,1,CSE
PHIL2900,1,CSE
PSCI1100,1,CSE
PSCI1200,1,CSE
PSCI2002,1,CSE
PSCI2003,1,CSE
PSCI2101,1,CSE
PSCI2102,1,CSE
PSCI2200,1,CSE
PSCI2401,1,CSE
PSCI2500,1,CSE
PSCI2601,1,CSE
PSCI2602,1,CSE
PSYC2003,1,CSE
RELI1710,1,CSE
RELI1716,1,CSE
RELI1730,1,CSE
RELI1731,1,CSE
RELI2110,1,CSE
RELI2210,1,CSE
RELI2220,1,CSE
RELI2310,1,CSE
RELI2330,1,CSE
RELI2410,1,CSE
RELI2510,1,CSE
RELI2515,1,CSE
RELI2535,1,CSE
RELI2732,1,CSE
RELI2735,1,CSE
RELI2736,1,CSE
RELI2737,1,CSE
RELI2738,1,CSE
RELI2842,1,CSE
RELI2843,1,CSE
SOCI1001,1,CSE
SOCI1002,1,CSE
SOCI2005,1,CSE
SOCI2010,1,CSE
SOCI2020,1,CSE
SOCI2043,1,CSE
SOCI2045,1,CSE
SOCI2050,1,CSE
SOCI2150,1,CSE
SOCI2160,1,CSE
SOCI2445,1,CSE
SOCI2450,1,CSE
SOWK1000,1,CSE
TSES3001,1,CSE
TSES3002,1,CSE
TSES4011,1,CSE
TSES4012,1,CSE
TSES4014,1,CSE
WGST1808,1,CSE
WGST2800,1,CSE
WGST2801,1,CSE
WGST2803,1,CSE
WGST2807,1,CSE
WGST2811,1,CSE
WGST2814,1,CSE
